Object,positionX,positionY,velocityX,velocityY
Airplane0,704.119995,-211.452454,14.000000,-19.100201
Airplane1,980.895996,14.623613,18.000000,-19.149200
Airplane2,637.864929,241.949814,5.000000,-19.188400
Airplane3,541.930908,-200.621033,1.000000,-19.227600
Airplane4,668.932068,30.880598,7.000000,-19.276600
Airplane0,731.867981,-230.701248,14.000000,-19.423601
Airplane1,1016.679993,-4.741892,18.000000,-19.482401
Airplane2,647.824951,222.506302,5.000000,-19.521601
Airplane3,543.926880,-220.142715,1.000000,-19.560801
Airplane4,682.939087,11.260992,7.000000,-19.609800
Airplane0,760.091980,-250.616104,14.000000,-19.756800
Airplane1,1053.040039,-24.735853,18.000000,-19.796000
Airplane2,657.944946,202.433075,5.000000,-19.835201
Airplane3,545.954895,-240.295349,1.000000,-19.874401
Airplane4,697.177063,-9.011072,7.000000,-19.933201
Airplane0,788.777954,-271.188263,14.000000,-20.080200
Airplane1,1090.012085,-45.408543,18.000000,-20.129200
Airplane2,668.234924,181.679794,5.000000,-20.168400
Airplane3,548.016907,-261.129395,1.000000,-20.207600
Airplane4,711.646057,-29.946268,7.000000,-20.256601
Airplane0,817.925964,-292.428406,14.000000,-20.403601
Airplane1,1127.578125,-66.750832,18.000000,-20.452600
Airplane2,678.689941,160.255615,5.000000,-20.491800
Airplane3,550.111877,-282.635620,1.000000,-20.531000
Airplane4,726.346069,-51.555267,7.000000,-20.580000
Airplane0,847.535950,-314.347198,14.000000,-20.727001
Airplane1,1165.738159,-88.773392,18.000000,-20.776001
Airplane2,689.309937,138.149872,5.000000,-20.815201
Airplane3,552.239868,-304.824707,1.000000,-20.854401
Airplane4,741.284058,-73.869652,7.000000,-20.913200
Airplane0,877.621948,-336.976379,14.000000,-21.060200
Airplane1,1204.510132,-111.508003,18.000000,-21.109200
Airplane2,700.099915,115.330750,5.000000,-21.148401
Airplane3,554.401855,-327.728516,1.000000,-21.187601
Airplane4,756.453064,-96.879509,7.000000,-21.236601
Airplane0,908.169922,-360.305878,14.000000,-21.383600
Airplane1,1243.876099,-134.944550,18.000000,-21.432600
Airplane2,711.054932,91.808395,5.000000,-21.471800
Airplane3,556.596863,-351.336853,1.000000,-21.511000
Airplane4,771.853088,-120.595505,7.000000,-21.560001
Airplane0,939.179932,-384.346375,14.000000,-21.707001
Airplane1,1283.836060,-159.093704,18.000000,-21.756001
Airplane2,722.174927,67.572128,5.000000,-21.795200
Airplane3,558.824890,-375.660370,1.000000,-21.834400
Airplane4,787.484070,-145.028320,7.000000,-21.883400
Airplane0,970.665955,-409.130585,14.000000,-22.040201
Airplane1,1324.408081,-183.988235,18.000000,-22.089201
Airplane2,733.464905,42.589165,5.000000,-22.128401
Airplane3,561.086914,-400.731934,1.000000,-22.167601
Airplane4,803.353088,-170.210831,7.000000,-22.216600
Airplane0,1002.613953,-434.647461,14.000000,-22.363600
Airplane1,1365.736084,-209.819153,18.000000,-22.500801
Airplane2,744.969910,16.645618,5.000000,-22.549801
Airplane3,563.391907,-426.765747,1.000000,-22.589001
Airplane4,819.516113,-196.335083,7.000000,-22.628201
Airplane0,1035.023926,-460.907654,14.000000,-22.687000
Airplane1,1407.496094,-236.192917,18.000000,-22.736000
Airplane2,756.589905,-9.819164,5.000000,-22.775200
Airplane3,565.719910,-453.321716,1.000000,-22.814400
Airplane4,835.847107,-223.005234,7.000000,-22.863400
Airplane0,1067.909912,-487.944885,14.000000,-23.020201
Airplane1,1449.850098,-263.322296,18.000000,-23.059401
Airplane2,768.379883,-37.063969,5.000000,-23.108400
Airplane3,568.081909,-480.659027,1.000000,-23.147600
Airplane4,852.416138,-250.458405,7.000000,-23.196600
Airplane0,1101.257935,-515.747131,14.000000,-23.343601
Airplane1,1492.816040,-291.241364,18.000000,-23.392601
Airplane2,780.334900,-65.076691,5.000000,-23.431801
Airplane3,570.476929,-508.765564,1.000000,-23.471001
Airplane4,869.216125,-278.682404,7.000000,-23.520000
Airplane0,1135.067993,-544.325012,14.000000,-23.667000
Airplane1,1536.376099,-319.937714,18.000000,-23.716000
Airplane2,792.454895,-93.867996,5.000000,-23.755201
Airplane3,572.904907,-537.651978,1.000000,-23.794401
Airplane4,886.303101,-307.878967,7.000000,-23.921801
Airplane0,1169.578003,-574.098511,14.000000,-24.157000
Airplane1,1580.836060,-349.832123,18.000000,-24.206001
Airplane2,804.824890,-123.859314,5.000000,-24.245201
Airplane3,575.382935,-567.740356,1.000000,-24.284401
Airplane4,903.684082,-338.088898,7.000000,-24.333401
Airplane0,1204.563965,-604.699036,14.000000,-24.490200
Airplane1,1625.890015,-380.530670,18.000000,-24.529400
Airplane2,817.359863,-154.656052,5.000000,-24.568600
Airplane3,577.894958,-598.660034,1.000000,-24.617601
Airplane4,921.310059,-369.156494,7.000000,-24.676401
Airplane0,1240.011963,-636.113037,14.000000,-24.813601
Airplane1,1671.537964,-412.044006,18.000000,-24.852800
Airplane2,830.059875,-186.268890,5.000000,-24.892000
Airplane3,580.439941,-630.397461,1.000000,-24.941000
Airplane4,939.153076,-400.993774,7.000000,-24.980200
Airplane0,1275.921997,-668.351257,14.000000,-25.137001
Airplane1,1717.797974,-444.408020,18.000000,-25.186001
Airplane2,842.929871,-218.733719,5.000000,-25.225201
Airplane3,583.017944,-662.963257,1.000000,-25.264400
Airplane4,957.234070,-433.686035,7.000000,-25.313400
Airplane0,1312.307983,-701.449768,14.000000,-25.470200
Airplane1,1764.651978,-477.608521,18.000000,-25.509401
Airplane2,855.964844,-252.036316,5.000000,-25.548601
Airplane3,585.630920,-696.419312,1.000000,-25.607401
Airplane4,975.560059,-467.270264,7.000000,-25.656401
Airplane0,1349.156006,-735.394165,14.000000,-25.793600
Airplane1,1812.099976,-511.656158,18.000000,-25.832800
Airplane2,869.164856,-286.187347,5.000000,-25.872000
Airplane3,588.274902,-730.673950,1.000000,-25.911200
Airplane4,994.103027,-501.654541,7.000000,-25.960201
Airplane0,1386.466064,-770.195068,14.000000,-26.117001
Airplane1,1860.160034,-546.587769,18.000000,-26.166000
Airplane2,882.534851,-321.223694,5.000000,-26.205200
Airplane3,590.953918,-765.841431,1.000000,-26.254200
Airplane4,1012.891052,-536.953430,7.000000,-26.303200
Airplane0,1424.252075,-805.889587,14.000000,-26.450201
Airplane1,1908.814087,-582.388184,18.000000,-26.489401
Airplane2,896.069824,-357.130157,5.000000,-26.528601
Airplane3,593.665894,-801.880676,1.000000,-26.577600
Airplane4,1031.910034,-573.125671,7.000000,-26.626600
Airplane0,1462.500122,-842.462341,14.000000,-26.773600
Airplane1,1958.080078,-619.094910,18.000000,-26.822601
Airplane2,909.774841,-393.944244,5.000000,-26.861801
Airplane3,596.410889,-838.802307,1.000000,-26.901001
Airplane4,1051.166992,-610.208862,7.000000,-26.959801
Airplane0,1501.210083,-879.923950,14.000000,-27.097000
Airplane1,2007.940063,-656.692139,18.000000,-27.146000
Airplane2,923.644836,-431.650116,5.000000,-27.185200
Airplane3,599.188904,-876.617004,1.000000,-27.224401
Airplane4,1070.655029,-648.187073,7.000000,-27.283201
Airplane0,1540.396118,-918.312500,14.000000,-27.430201
Airplane1,2058.394043,-695.190491,18.000000,-27.469400
Airplane2,937.679810,-470.258423,5.000000,-27.508600
Airplane3,601.999878,-915.335449,1.000000,-27.547800
Airplane4,1090.367065,-687.043396,7.000000,-27.596800
Airplane0,1580.044067,-957.611572,14.000000,-27.753601
Airplane1,2109.459961,-734.628479,18.000000,-27.802601
Airplane2,951.884827,-509.807709,5.000000,-27.841801
Airplane3,604.844849,-954.996155,1.000000,-27.881001
Airplane4,1110.317017,-726.843628,7.000000,-27.930000
Airplane0,1620.154053,-997.831848,14.000000,-28.077000
Airplane1,2161.119873,-774.989258,18.000000,-28.126001
Airplane2,966.254822,-550.281128,5.000000,-28.165201
Airplane3,607.722839,-995.582275,1.000000,-28.204401
Airplane4,1130.498047,-767.570923,7.000000,-28.253401
Airplane0,1660.726074,-1038.984009,14.000000,-28.400400
Airplane1,2213.373779,-816.283569,18.000000,-28.449400
Airplane2,980.789795,-591.689331,5.000000,-28.488600
Airplane3,610.633850,-1037.104492,1.000000,-28.527800
